data/hora;idade;genero;situacao_conjugal;situacao_empregaticia;estado_reside;ies;nome_curso;nivel_ensino;data_inicio_ curso;tipo_ies;local_estudante;migrou_virtual;ies_fechou_dorm;situação_durante_pandemia;data_fechamento;residencia_atual;moradia_atual_permanente;morando_com; convive_risco_relevante;quarentena_imposta;vivenciou;acesso_servicos_saude;acesso_internet;capacidade_prosseguir_estudos;capacidade_socializacao ;bem_estar_psicologico;qualidade_de_vida;aulas_durante_pandemia;acesso_professores;acesso_infra_ies;espaco_físico;disposicao_atividades;desempenho_escolar;ies_reinicio;data_reinico;vacinado;dificuldades_academicas;despesas;renda_financeira;ajuda_financeira;nivel_endividamento;despesas_cresceram;dificuldades_financeiras; decisao_fechar;ies_positivo;ies_melhorar;ies_ajudar;nivel_ansiedade;ansiedade_planejamento;ansiedade_longo_prazo;detalhes_finais
26/11/2021;25;Masculino;Solteiro(a);Empregado(a);SP;FGV;Pós-Graduação em Administração de Empresas;Mestrado;01/02/2021;Privada;Outra cidade;Sim;Não sei;;15/03/2020;Fora do campus, mas na mesma cidade da instituição de ensino;Sim;Colega de quarto/República;Não;Não;Não se aplica / Não sabe / Não se lembra;O mesmo de antes;Melhor do que antes;Muito melhor do que antes;Pior do que antes;O mesmo de antes;;Foram mais ou menos o mesmo;Foi mais ou menos o mesmo;Ficou mais ou menos o mesmo;Melhorou;Aumentou;Foi mais ou menos o mesmo;Não, ainda não retornou nenhuma atividade presencial;;Sim vacinado com duas doses ou com vacina de dose única;;Diminuiram;Aumentou;Sim;Estão mais ou menos as mesmas;Viagens/deslocamentos, Alimentação;;De forma oportuna e prudente;A disponibilidade dos materiais nos sistemas e facilidade em comunicação sobre as ações necessárias.;Talvez um espaço maior de tempo para volta presencial das aulas;Sem sugestões.;O mesmo de antes;Melhor do que antes;Melhor do que antes;
24/03/2022;27;Masculino;Solteiro(a);Desempregado(a);SP;UNESP;Bacharelado em Sistemas da Informação;Graduação;14/06/2021;Pública;Outra cidade;Sim;Sim;;;Em outra cidade da instituição de ensino mas dentro do mesmo estado;Sim;Família;Sim;Sim;Dificuldades devido a alterações em suas condições de vida, incluindo o fechamento de alojamentos, perda de emprego, etc.;O mesmo de antes;Pior que antes;Muito pior do que antes;Pior do que antes;Muito pior do que antes;Crises de ansiedade generalizada, dificuldade de concentração e memorização depois que peguei covid-19, dificuldade para arrumar emprego mais estavel e sem exposição ;Pioraram;Foi mais ou menos o mesmo;Pioraram;Piorou;Diminuiu;Diminuiu;Não, ainda não retornou nenhuma atividade presencial;;Sim vacinado com duas doses ou com vacina de dose única;;Diminuiram;Diminuiu;Não;Estão mais ou menos as mesmas;Relacionadas com saúde, Aluguel, Internet, Alimentação;;De forma oportuna e prudente;;;;Muito pior do que antes;Muito pior do que antes;Muito pior do que antes;
24/03/2022;24;Feminino;União Estável/Vivendo junto;Desempregado(a);SP;UNESP;Meteorologia;Graduação;03/04/2017;Pública;Outra cidade;Sim;Não sei;;17/02/2020;Em outra cidade da instituição de ensino mas dentro do mesmo estado;Sim;Família;Não;Sim;Não se aplica / Não sabe / Não se lembra;N/A ou Não sabe;Melhor do que antes;Melhor do que antes;O mesmo de antes;O mesmo de antes;;Foram mais ou menos o mesmo;Melhorou;Pioraram;Piorou;Diminuiu;Diminuiu;Não, ainda não retornou nenhuma atividade presencial;;Sim vacinado com duas doses, com vacina de dose única e dose de reforço;;Foram mais ou menos os mesmos;Diminuiu;Não;Diminuiram;Relacionadas com saúde, Viagens/deslocamentos, Transporte urbano, Alimentação;;Muito lentamente;;;;O mesmo de antes;O mesmo de antes;O mesmo de antes;
24/03/2022;;Feminino;União Estável/Vivendo junto;Empregado(a);PR;UNESP;Pós-Graduação em Psicologia;Mestrado;02/03/2020;Pública;Outra cidade;Sim;Não sei;;;Em uma cidade em outro Estado;Sim;Família;Não;Não;Dificuldades para viajar/se deslocar;Pior do que antes;O mesmo que antes;Pior do que antes;Pior do que antes;Pior do que antes;;Foram mais ou menos o mesmo;Melhorou;Ficou mais ou menos o mesmo;Melhorou;Diminuiu;Foi mais ou menos o mesmo;N/A ou Não sabe;;Sim vacinado com duas doses, com vacina de dose única e dose de reforço;;Aumentaram;Aumentou;Não;Aumentaram;Transporte urbano, Aluguel, Internet, Alimentação;;De forma oportuna e prudente;;;;Pior do que antes;Pior do que antes;Pior do que antes;
24/03/2022;19;Feminino;Solteiro(a);Dependente (dos pais, etc.);SP;UNESP;Ciências Biológicas ;Graduação;16/06/2021;Pública;Local;Sim;Não sei;;;Em outra cidade da instituição de ensino mas dentro do mesmo estado;Sim;Família;Não;Sim;Não se aplica / Não sabe / Não se lembra;O mesmo de antes;O mesmo que antes;Muito pior do que antes;Pior do que antes;Muito pior do que antes;;Pioraram;Piorou;Pioraram;Piorou;Diminuiu;Diminuiu;Em parte (apenas algumas atividades  presenciais retornaram);07/03/2022;Sim vacinado com duas doses ou com vacina de dose única;;Aumentaram;Está mais ou menos a mesma;Não;Estão mais ou menos as mesmas;Viagens/deslocamentos, Aluguel, Alimentação, Outras (não relacionadas);;Muito rapidamente;;;;Muito pior do que antes;Muito pior do que antes;Muito pior do que antes;
24/03/2022;23;Feminino;Solteiro(a);Dependente (dos pais, etc.);SP;UNESP;Pós-Graduação em Educação para a Ciência;Mestrado;03/03/2022;Pública;Outra cidade;Sim;Não;;13/03/2020;Em outra cidade da instituição de ensino mas dentro do mesmo estado;Sim;Família;Não;Sim;Dificuldades para viajar/se deslocar;Pior do que antes;Melhor do que antes;Pior do que antes;Muito pior do que antes;Muito pior do que antes;Tive que voltar para a casa dos meus pais, terminei a graduação de maneira remota e fui afastada da minha vida universitária antes do previsto. Desenvolvi ansiedade aguda, gastrite nervosa e bruxismo por causa do contexto.;Pioraram;Melhorou;Pioraram;Piorou;Aumentou;Aumentou;Sim (retornou todas as atividades presenciais);15/02/2022;Sim vacinado com duas doses, com vacina de dose única e dose de reforço;Tive maiores dificuldades no início, mas a partir do segundo semestre remoto desenvolvi métodos de estudos e capacidades de aprendizado sozinha, pois as aulas não eram suficientes.;Aumentaram;Diminuiu;Não;Estão mais ou menos as mesmas;Viagens/deslocamentos, Transporte urbano, Aluguel, Alimentação;Ainda não fui contemplada pela bolsa de mestrado, portanto me encontro dependente dos meus pais. Isso porque as bolsas anteriores disponibilizadas para o PPG sofreram prorrogação durante a pandemia, e até agosto estarão com mestrandos anteriores à mim, portanto só receberei em setembro/outubro, se elas foram mantidas.;Muito lentamente;disponibilizou material tecnológico e chips de internet para quem não tinha;Gostaria que tivesse oferecido maior incentivo aos professores e que tivesse se organizado melhor quanto ao calendário escolar, pois praticamente tive 4 semestres emendados;;Muito pior do que antes;Muito pior do que antes;Pior do que antes;
24/03/2022;21;Masculino;Solteiro(a);Dependente (dos pais, etc.);SP;UNESP;Bacharelado em Química Tecnológica;Graduação;14/06/2021;Pública;Local;Sim;Não sei;;;Fora do campus, mas na mesma cidade da instituição de ensino;Sim;Família;Não;Sim;Dificuldades para viajar/se deslocar;Pior do que antes;O mesmo que antes;O mesmo de antes;Pior do que antes;O mesmo de antes;;Foram mais ou menos o mesmo;Foi mais ou menos o mesmo;Pioraram;Era mais ou menos o mesmo;Aumentou;Foi mais ou menos o mesmo;Não, ainda não retornou nenhuma atividade presencial;;Sim vacinado com duas doses, com vacina de dose única e dose de reforço;;Aumentaram;Está mais ou menos a mesma;Não;Diminuiram;Viagens/deslocamentos, Transporte urbano, Alimentação;;De forma oportuna e prudente;Temporariamente cessar as aulas de forma presencial.;Gostaria que minha instituição tivesse se certificado de que todos os professores estivessem familiarizados as ferramentas de ensino remoto antes do início do período letivo, uma vez que em alguns casos foi necessária ação por parte dos alunos a qual somente resultou em leves progressos.;Continuasse a fazer uso das tecnologias e métodos de ensino descobertos durante a pandemia, em combinação as aulas presenciais. ;Muito pior do que antes;Muito pior do que antes;Pior do que antes;
24/03/2022;33;Masculino;Casado(a);Empregado(a);SP;UNESP;Pós-Graduação em Educação para a Ciência;Doutorado;01/08/2018;Pública;Outra cidade;Sim;Não sei;Eu moro na capital e praticamente toda a minha orientação ocorreu de forma remota. Eu pude fazer algumas disciplinas no formato EaD.;;Em outra cidade da instituição de ensino mas dentro do mesmo estado;Sim;Família;Sim;Sim;Dificuldades devido a alterações em suas condições de vida, incluindo o fechamento de alojamentos, perda de emprego, etc.;Melhor do que antes;O mesmo que antes;Pior do que antes;Muito pior do que antes;Muito pior do que antes;Tive que retornar ao uso de medicamentos psiquiátricos. Sou uma pessoa ansiosa e a pandemia piorou meu quadro de pensamentos pessimistas.;Pioraram;Piorou;Pioraram;Piorou;Diminuiu;Foi mais ou menos o mesmo;Não, ainda não retornou nenhuma atividade presencial;;Sim vacinado com duas doses, com vacina de dose única e dose de reforço;Por ser professor e coordenador, muito do meu tempo foi tomado pela adaptação à pandemia. Isso gerou um fluxo de trabalho massacrante que deteriorou meus estudos e meu trabalho.;Aumentaram;Diminuiu;Não;Aumentaram;Relacionadas com saúde, Viagens/deslocamentos, Transporte urbano, Aluguel, Internet, Alimentação;Com o aumento do aluguel e de outras despesas e o congelamento do meu salário, meu poder de compra diminuiu significativamente. Não consigo mais sair para bares, ritual que me ajudava a melhorar a disposição e humor.;De forma oportuna e prudente;A UNESP foi efetiva nas suas ferramentas de comunicação, rapidez e ações de fechamento imediato.;Retomar espaços de convivência, como a biblioteca e os bandejões.;...;Pior do que antes;Pior do que antes;Pior do que antes;
24/03/2022;27;Feminino;Casado(a);Empregado(a);SP;UNESP;Licenciatura Matemática ;Graduação;10/02/2022;Pública;Local;Sim;Não sei;;;Fora do campus, mas na mesma cidade da instituição de ensino;Sim;Família;Não;Sim;Não se aplica / Não sabe / Não se lembra;Pior do que antes;O mesmo que antes;O mesmo de antes;O mesmo de antes;O mesmo de antes;;Foram mais ou menos o mesmo;Foi mais ou menos o mesmo;Ficou mais ou menos o mesmo;Melhorou;Ficou mais ou menos a mesma;Aumentou;Sim (retornou todas as atividades presenciais);;Sim vacinado com duas doses, com vacina de dose única e dose de reforço;;Aumentaram;Aumentou;Não;Estão mais ou menos as mesmas;Relacionadas com saúde, Transporte urbano, Internet, Alimentação, Outras (não relacionadas);;De forma oportuna e prudente;;;;N/A ou Não Sabe;O mesmo de antes;Melhor do que antes;
24/03/2022;19;Feminino;Solteiro(a);Dependente (dos pais, etc.);SP;UNESP;Ciências Biológicas;Graduação;20/02/2020;Pública;Local;Sim;Não;;30/03/2020;Fora do campus, mas na mesma cidade da instituição de ensino;Sim;Família;Sim;Sim;Não se aplica / Não sabe / Não se lembra;Pior do que antes;Muito pior que antes;Pior do que antes;Muito pior do que antes;Muito pior do que antes;;Pioraram;Piorou;Pioraram;Piorou;Diminuiu;Foi mais ou menos o mesmo;Não, ainda não retornou nenhuma atividade presencial;;Sim vacinado com duas doses, com vacina de dose única e dose de reforço;;Aumentaram;Está mais ou menos a mesma;Não;Aumentaram;Relacionadas com saúde, Internet, Outras (não relacionadas);;Muito rapidamente;;;;Muito pior do que antes;Muito pior do que antes;Muito pior do que antes;
24/03/2022;23;Feminino;Solteiro(a);Empregado(a);SP;UNESP;Pós-Graduação em Psicologia;Mestrado;03/02/2022;Pública;Outra cidade;Sim;Não sei;;16/03/2020;Em outra cidade da instituição de ensino mas dentro do mesmo estado;Sim;Família;Não;Não;Dificuldades para viajar/se deslocar;Muito pior do que antes;O mesmo que antes;O mesmo de antes;Pior do que antes;Pior do que antes;;Foram mais ou menos o mesmo;Foi mais ou menos o mesmo;Pioraram;Era mais ou menos o mesmo;Ficou mais ou menos a mesma;Foi mais ou menos o mesmo;Sim (retornou todas as atividades presenciais);10/03/2022;Sim vacinado com duas doses ou com vacina de dose única;;Aumentaram;Aumentou;Não;Estão mais ou menos as mesmas;Relacionadas com saúde, Viagens/deslocamentos, Aluguel, Alimentação;;De forma oportuna e prudente;Reconheço que minha instituição da graduação tomou todos os cuidados necessários para não realizarmos atividades presenciais até que fosse seguro voltar para o campus.; Gostaria que minha instituição tivesse feito um melhor uso da biblioteca de forma on-line.;Além do que foi feito, ajudaria muito se minha instituição não tivesse demitido tantos professores.;Pior do que antes;Pior do que antes;O mesmo de antes;
24/03/2022;31;Feminino;Solteiro(a);Empregado(a);SP;UNESP;Bacharelado em Química Ambiental Tecnológica;Graduação;08/02/2018;Pública;Local;Sim;Não sei;O meu curso tem uma carga horário bem alta em disciplinas laboratoriais e a pandemia prejudicou bastante a nossa prática, e tenho receio que isso venha prejudicar a minha formação.;;Fora do campus, mas na mesma cidade da instituição de ensino;Sim;Família;Sim;Sim;Não se aplica / Não sabe / Não se lembra;Pior do que antes;O mesmo que antes;O mesmo de antes;Pior do que antes;Pior do que antes;A pandemia me trouxe uma dificuldade em gerenciamento do tempo em relação a toda a rotina em si, pois ela foi completamente alterada. Por esse motivo eu procurei ajuda psicológica nesse período e atualmente sigo em terapia mas, no momento, cuidando de outras questões pessoais não mais relacionadas a pandemia em si.;Foram mais ou menos o mesmo;Piorou;Melhorou;Era mais ou menos o mesmo;Diminuiu;Foi mais ou menos o mesmo;Em parte (apenas algumas atividades  presenciais retornaram);;Sim vacinado com duas doses ou com vacina de dose única;Eu tive bastante dificuldade em relação as aulas online pois percebi que tenho muita dificuldade de prestar atenção nessa modalidade de aula.;Foram mais ou menos os mesmos;Está mais ou menos a mesma;Não;N/A ou Não sabe;Transporte urbano, Alimentação;Eu tenho veículo próprio e o deslocamento até a faculdade aumentará os gastos com combustível no período de retorno. Porém era esperado o gasto mas não que os preços estariam em patamares tão altos.;De forma oportuna e prudente;Conseguiu manter o andamento das disciplinas, principalmente as teóricas, a biblioteca liberou o acesso a livros de edições recentes para consulta na íntegra, o uso da plataforma do google facilitou bastante - classroom, drive, meet, documentos, planilhas e apresentações. ;Se preparado melhor para um retorno gradual e não ter optado por um retorno total logo de cara.;-;Pior do que antes;Pior do que antes;Pior do que antes;Acredito que já escrevi sobre os pontos mais relevantes anteriormente.
25/03/2022;22;Feminino;Solteiro(a);Dependente (dos pais, etc.);SP;UNESP;Pedagogia;Graduação;14/06/2021;Pública;Outra cidade;Sim;Não sei;;;Em outra cidade da instituição de ensino mas dentro do mesmo estado;Sim;Família;Não;Não;Não se aplica / Não sabe / Não se lembra;O mesmo de antes;O mesmo que antes;Muito pior do que antes;Muito pior do que antes;Pior do que antes;Com a pandemia e o isolamento social intenso que fiquei até o fim de 2021, fiquei muito mais ansiosa e agitada em geral, mas sobretudo em relação a interações sociais. Sair de casa e estar em ambientes com outras pessoas se tornou uma atividade difícil e assustadora (mas isso está melhorando aos poucos com minha exposição progressiva);Pioraram;Piorou;Pioraram;Melhorou;Diminuiu;Foi mais ou menos o mesmo;Não, ainda não retornou nenhuma atividade presencial;;Sim vacinado com duas doses, com vacina de dose única e dose de reforço;Fiquei tão desmotivada e desvinculada com minha instituição de ensino que tranquei minha graduação anterior durante a pandemia. O afastamento dos docentes e dos colegas de classe fragilizou muito minha motivação e vínculo com a faculdade, o que me levou a trancar. Depois entrei em outro curso (e em outra instituição), que me senti mais estimulada a cursar por ser um assunto que mais me interessava;Diminuiram;Diminuiu;Não;Estão mais ou menos as mesmas;Viagens/deslocamentos, Transporte urbano, Aluguel, Internet, Alimentação, Outras (não relacionadas);Estou me mudando da casa dos meus pais para um apartamento alugado, e também estou mudando de cidade para a cidade da minha universidade, que é distante e que sei que acarretará novos gastos, principalmente em relação a aluguel e transporte (pois atualmente não gasto com aluguel, ja que moro em casa própria, e nem com transporte, ja que minhas aulas estão sendo online);De forma oportuna e prudente;Diminuíram o tempo de aula, e utilizaram ferramentas online que são muito práticas (como o google classroom, por exemplo). Também adiaram a prova do vestibular, que estava marcada para uma data em que a pandemia estava muito crítica, preservando a saúde de seus futuros alunos. Também foram muito prudentes em relação a retornos presenciais, fazendo estudos constantes e sendo muito cautelosos.;Gostaria que meus professores tivessem adaptado seus modelos de aula para aulas virtuais, ao invés de apenas reproduzir em câmera o que faziam em sala de aula. Também gostaria que a universidade tivesse dado avisos mais constantes sobre a volta (ou não) das aulas presenciais, pois a ausência total de notícias me deixava extremamente ansiosa e sem conseguir planejar o futuro.;;Pior do que antes;O mesmo de antes;Pior do que antes;Fiquei em isolamento absoluto e total durante o ano de 2020 e o primeiro semestre de 2021. Apenas no segundo semestre deste que comecei a flexibilizar minhas saídas e a ver meus familiares, amigos, de maneira distante e com máscara. Foi um período de muito isolamento, de muita ansiedade, apatia e de falta de perspectiva de futuro. Com o aumento das minhas saídas e encontros de entes queridos comecei a ficar mais tranquila, mas sigo bem ansiosa.
25/03/2022;57;Feminino;Divorciado(a)/Separado(a);Autônomo(a);SP;UNESP;Pós-Graduação em Psicologia;Mestrado;12/04/2021;Pública;Outra cidade;Sim;Não sei;so foi possivel eu fazer mestrado porque foi online;;Em outra cidade da instituição de ensino mas dentro do mesmo estado;Sim;Família;Sim;Não;Dificuldades devido a alterações em suas condições de vida, incluindo o fechamento de alojamentos, perda de emprego, etc.;Muito pior do que antes;Melhor do que antes;Melhor do que antes;Muito pior do que antes;Pior do que antes;Ha uma questao que pergunta se eu moro com alguem na faixa dos 60-70 anos, mas seria melhor perguntar se eu moro com alguem maior de 60 anos, pois os maiores de 60 anos sao mais vulneraveis a covid, e essa vulnerabilidade nao termina aos 70 anos. No meu caso eu moro com meu pai de 91 anos!!! Não é simples cuidar de um idoso, mesmo que saudavel, e fazer mestrado.;Pioraram;Piorou;Pioraram;Piorou;Diminuiu;Aumentou;Em parte (apenas algumas atividades  presenciais retornaram);01/03/2022;Sim vacinado com duas doses, com vacina de dose única e dose de reforço;Os professores nao tiveram formação ou capacitação para ministrarem um curso nos metodos de ensino a distancia (EaD), que formam uma área consagrada da educação. Ao contrário, muitos reclamam e condenam a tecnica EaD, pelo preconceito nao se capacitam nela, e o resultado é que dão aulas do jeito que acham que tem que ser, sem metodo adequado, como se isso fosse EaD. Essas aulas livres são chamadas de ensino remoto emergencial (ERE) e não são EaD em sua definição e aplicação. Pelo tempo que estamos tendo de pandemia, teria dado tempo de começar a capacitação em massa dos professores em EaD de verdade, usando tambem os recursos tecnologicos nas universidades, que nao deveriam se limitar a Google Meet.;Aumentaram;Diminuiu;Não;Aumentaram;Viagens/deslocamentos, Alimentação;Perdi parte de meus clientes, meu trabalho exigia atendimento presencial, e as despesas de supermercado e contas de consumo subiram muito.;De forma oportuna e prudente;Tirando o EaD, que poucas instituições sabem fazer com proficiencia, minha institiuição foi/é impecável!;Capacitar-se em EaD, criar educação continuada a todos os docentes. EaD exige ações multidisciplinares com profissionais da computação, comunicações,  biblioteconomia etc.;Avaliação da qualidade dos docentes e suporte psicologico a eles, pois eles tambem precisam de ajuda para manter sua qualidade.;Muito pior do que antes;Muito pior do que antes;Muito pior do que antes;"Agravante: desde fim de fevereiro/22 ha uma guerra na Europa, em que a Russia invadiu a Ucrania. Isso derrubou minha esperança de sair da pandemia, porque agora tenho medo tambem da guerra. =(
Grata pela pesquisa!!! 

Detalhe de nerd... As questoes acima que perguntam sobre o nivel de ansiedade, eu nao sei o que é ""pior"" ou ""melhor"" para voces. Nivel de ansiedade pior é ansiedade mais alta ou mais baixa? Eu respondi como se ""pior"" fosse ansiedade mais alta. Mas isso nao esta claro, precisaria definir: ""considerando o seu nivel de ansiedade mais alto como pior e mais baixo como melhor, responda..."" Ou pode perguntar direto: ""Teu nivel de ansiedade esta mais alto ou mais baixo?""
Esse é o mesmo caso de ""aumentar o ar condicionado"" (não está nesta pesquisa rsrs): ""aumentar o ar"" quer dizer reduzir a temperatura para aumentar o frio ou aumentar a temperatura para aumentar o calor? Tem que definir para o respondente.
Grata!"
25/03/2022;39;Feminino;Casado(a);Empregado(a);SP;UNESP;Pós-Graduação em Educação para a Ciência;Doutorado;03/03/2022;Pública;Outra cidade;Sim;Não sei;Gosto também de estudar online, e facilitou em alguns aspectos, a cada dia com 4 horas de aula tenho 4 horas de viagem a serem feitas, aproveito essas horas para estudo estando tendo aulas EAD - entretanto, vejo como importante enquanto vínculos emocionais e aprofundamento de conteúdo que o ensino presencial favorece.;;Em outra cidade da instituição de ensino mas dentro do mesmo estado;Sim;Família;Sim;Sim;Não se aplica / Não sabe / Não se lembra;O mesmo de antes;O mesmo que antes;Melhor do que antes;O mesmo de antes;O mesmo de antes;"A ansiedade/medo das pessoas problematizam um pouco as relações, nestes momentos é preciso primar pela razão, considerar os dados científicos e não deixar que o pânico estabelecido na sociedade se imponha. Contudo, a tristeza de perdas não se destitui de cada um, é preciso ser ""forte"" em situações calamitosas e depende da formação psicológica e análise racional da situação, que nem todos tem.";Foram mais ou menos o mesmo;Foi mais ou menos o mesmo;Ficou mais ou menos o mesmo;Era mais ou menos o mesmo;Ficou mais ou menos a mesma;Foi mais ou menos o mesmo;N/A ou Não sabe;;Sim vacinado com duas doses, com vacina de dose única e dose de reforço;;Aumentaram;Está mais ou menos a mesma;Não;Estão mais ou menos as mesmas;Relacionadas com saúde, Viagens/deslocamentos, Alimentação, Outras (não relacionadas);"A inflação do país está aumentando, os custos de transporte e consequentemente de todas as mercadorias, dependemos de frete. Alguns produtos importados são caros, os que temos são exportados e ficamos com o que ""sobra"", contribuindo para comprarmos ""de volta"" os produtos com impostos de importação... enfim, tanto a pandemia quanto más conduções atitudinais de dirigentes estão resultando em perda do poder aquisitivo ainda que se mantenha/aumente a renda.";De forma oportuna e prudente;Aulas online facilitaram continuidade de formação dos alunos, equipe disposta a desempenhar bem o papel de apoio aos estudantes;oferta de livros online quando impossibilitado o uso da biblioteca, mas compreendo que seria a construção de uma biblioteca virtual e não necessariamente apenas a disponibilização.;fez o que foi possível a meu ver, que acompanhei atividades de longe já que como aluna entrei novamente este ano;O mesmo de antes;O mesmo de antes;O mesmo de antes;de modo próximo tive uma irmã com covid, que se recuperou, mais ninguém dos familiares próximos teve, dos amigos, quase todos se recuperaram - felizmente. as perdas foram e são sentidas, mas a vida depende das nossas ações, cuidados, resiliência e fortaleza, trabalho todos os dias para a construção de dias melhores, acreditando na possibilidade.
25/03/2022;49;Masculino;Casado(a);Bolsista;SP;UNESP;Pedagogia;Graduação;06/03/2019;Pública;Local;Sim;Não sei;Eu não sei;18/02/2020;Fora do campus, mas na mesma cidade da instituição de ensino;Sim;Família;Sim;Não;Dificuldades para viajar/se deslocar;Pior do que antes;Pior que antes;Muito pior do que antes;Pior do que antes;Pior do que antes;Sem dinheiro e tendo que juntar mais de uma bolsa para conseguir me virar;Pioraram;Piorou;;Piorou;Diminuiu;Diminuiu;Em parte (apenas algumas atividades  presenciais retornaram);;Sim vacinado com duas doses, com vacina de dose única e dose de reforço;Isolado no mundo dentro de casa, esses sistemas que usaram na internet é uma porcaria, extremamente confuso, mal feito, a comunicação piorou e muito nos últimos meses, a qualidade da conexão piorou muito e meu computador está cheio de problemas, sem funcionar direito e eu não tenho dinheiro para mandar consertar;Aumentaram;Diminuiu;Sim;Aumentaram;Viagens/deslocamentos, Transporte urbano, Internet, Alimentação, Outras (não relacionadas);"Os alimentos duplicaram de preço no mínimo. Ante com 600 reais você fazia uma compra que dava para mais de um mês, hoje com o mesmo tanto você tem que selecionar o que vai comprar para casa. Eu tenho mais de seis meses de imposto de MEI atrasado, se quiser fazer algum trabalho (que nunca mais apareceu) vou ter que primeiro pagar todos os impostos para poder emitir nota fiscal, minha casa vive com pelo menos uma conta atrasada, mês passado haviam duas contas de luz vencidas, meu carro precisa ir para o conserto e eu não tenho dinheiro porque eu não sei se você sabe essas coisas precisam de manutenção, eu nem consegui pagar o IPVA e licenciamento do ano passado, nem o desse ano. A minha janela para o mundo que é o computador, que é aonde eu faço os trabalhos da faculdade e tenho as aulas precisa urgentemente troca a placa de video porque está prestes a não mais funcionar e a uma semana pifou a placa de rede, e eu não tenho dinheiro. Como vou estudar? Se alguém ficar doente em casa fodeu. V1ocês não sabem porque eu estou tendo qu1e revisar o1 qu1e eu estou escrevendo, mas eu agora1 p1ara1 acessar a1 internet estou u1sando1 um laptop velho que dispara a tecla ""um"" e me obriga a voltar todo o texto e corrigir tudo para ele ficar legível. D1e p1ro1pó1si1to1 eu1 esto1u11 deixan11do1 esse fi1m de1 p1os1t1ag1e1m1 1111111111111sem1 1co1rri1g1i1r11 1p1ar1a1 vo1cê1s t1erem u1ma r1eal no1ç1~1ao1 do1 q1e1u1i1p1am1en1to1 qu1e11 1eu1 1111at1u1alme1nte1 es1t1ou s1e1nd1o1 o1b1ri1g1ad1o a1 r11e1ali1z1a1r1 meus1 e1s1t1u1do1s1 e1 f1az1e1r1 meus1 tra1balhos1 a1cad1êmi1c1o1s.";Muito rapidamente;"Eu tenho vontade de espancar o desgraçado que teve essa ideia de fazer o ensino rolar remotamente, é muito ruim, não funciona direito, a qualidade do ensino é visivelmente pior, numa situação aonde todo mundo estava com a vida virada de cabeça para baixo, se aproveitaram do momento para obrigar as pessoas a adotar um ensino péssimo, com ferramentas porcas, cheias de bug, sem nenhuma liberdade e ainda tendo a cara de pau de dizer que ""quem não quiser pode trancar o curso"".";1111111111111111!Go1staria que apenas1 tiv1esse1 sido humana e suspendido o curs1o até o quando a pandemia terminasse;Fosse menos filha da puta, gerida por burocratas que só pensam em satisfazer a cobiça do mercado financeiro e está cagando para a humanidade.;Muito pior do que antes;Muito pior do que antes;Muito pior do que antes;nã1o
25/03/2022;21;Feminino;Solteiro(a);Dependente (dos pais, etc.);SP;UNESP;Ciências Biológicas;Graduação;05/03/2019;Pública;Outra cidade;Sim;Não sei;;14/04/2020;Em outra cidade da instituição de ensino mas dentro do mesmo estado;Sim;Família;Não;Não;Dificuldades devido a alterações em suas condições de vida, incluindo o fechamento de alojamentos, perda de emprego, etc.;O mesmo de antes;O mesmo que antes;Pior do que antes;Muito pior do que antes;Muito pior do que antes;;Pioraram;Piorou;Pioraram;Era mais ou menos o mesmo;Diminuiu;Diminuiu;Em parte (apenas algumas atividades  presenciais retornaram);07/03/2022;Sim vacinado com duas doses, com vacina de dose única e dose de reforço;;N/A ou Não quero responder;Está mais ou menos a mesma;Não;Estão mais ou menos as mesmas;Viagens/deslocamentos, Transporte urbano, Aluguel, Internet, Alimentação;;Muito lentamente; Uma transição para o EaD rápida e  fechou o campus, começou quarentena, de forma rápida logo no começo da pandemia;Uma melhor transição para o EaD, tivesse ensinado os professores melhor em vomo lidar com a tecnologia e tivessem se organizado melhor quanto as necessidades dos alunos e as dificuldades implementadas pelo ensino a distancia dependente de internet e equipamentos eletrônicos;Fosse mais organizada, eles criaram um comitê em resposta ao covid 19, mas agiram de forma desorganizada e nunca dando certeza nas respostas e medidas a serem seguidas, passaram pouca segurança para os alunos quanto as decisões sendo tomadas (tanto no começo da pandemia quanto agora na suspensão da quarentena e volta de atividades presenciais);Pior do que antes;Pior do que antes;Muito pior do que antes;
